Datum;Betrag;Buchungsart;Buchungstext;Steuerschluessel
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
13.12.1212;147.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
14.12.1212;247.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
15.12.1212;347.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
16.12.1212;447.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
17.12.1212;547.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
18.12.1212;647.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
19.12.1212;747.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
20.12.1212;847.11;Ausgangsrechnung;TestBuchung1;Vorsteuer_19
20.12.1212;847.11;Eingangsrechnung;TestBuchung1;Vorsteuer_19